Deep learning,Machine learning ,python language,NLP,Statistics,Data Engineering 
CNN,keras,Django,wordvec,normal distribution,Hadoop  
keras,Linear Regression,flask,natural language processing,Hypothesis testing,Apache Spark
convolution,clustering ,tinker ,spacy,T test,Hive
tensorflow,sklearn,widgets,gensim,Z test ,HDFS
RNN,neural network,python,tokenization,Possion distribution,Hbase
pytorch,classification,,Text segmentation,,MapReduce
,Anamoly detection,,Tagging,,SQL Database
,Time  series ,,Word Embedding,,
,Machine learning,,,,
,forecasting,,,,
,Logistic Regression,,,,
,Machine Learning,,,,
